Brand,Discount,Price,Product Name,Rating,Reviewer
VIVO,7%,1855300.0,VIVO Y12 Smartphone [32 GB/ 3 GB] Burgundy Red,4.0,319.0
VIVO,0%,1700000.0,VIVO Y91C Smartphone [32GB/ 2GB],4.0,360.0
VIVO,0%,2999000.0,VIVO S1 Smartphone [128GB/ 4GB],4.0,122.0
VIVO,0%,1849000.0,VIVO Y12 Smartphone [32GB/ 3GB] + Free VR Box Lenovo Original,4.0,25.0
VIVO,10%,3240000.0,"Vivo Z1 Pro (Sonic Black, 128 GB)",4.0,132.0
VIVO,0%,2099000.0,VIVO Y12 Smartphone [64GB/ 3GB],4.0,210.0
VIVO,0%,2999000.0,VIVO Y19 Smartphone [128GB/6GB],4.0,72.0
VIVO,0%,2499000.0,"Vivo Y15 (Black, 4 GB)",0.0,0.0
VIVO,0%,1899000.0,VIVO Y12 Smartphone [32GB/3GB] + Free Speaker JBL + Bag + HF Bluetooth,4.0,5.0
VIVO,16%,2499000.0,VIVO Y17 Smartphone [128GB/ 4GB] Garansi resmi VIVO,0.0,0.0
VIVO,18%,2999000.0,VIVO S1 Smartphone [128GB/ 4GB] Garansi VIVO,4.0,1.0
VIVO,44%,2752980.0,VIVO V7 Plus Smartphone,0.0,0.0
VIVO,0%,3499000.0,VIVO Z1 Pro Smartphone,5.0,1.0
VIVO,5%,3515000.0,VIVO S1 PRO Smartphone,0.0,0.0
VIVO,0%,4999000.0,Hp Vivo V17 Pro,5.0,1.0
VIVO,25%,1499000.0,"Vivo Y21 (White, 16 GB)",4.0,1.0
VIVO,45%,1649450.0,"Vivo X6 (Gold, 32 GB)",0.0,0.0
VIVO,11%,1689000.0,VIVO Y11 Smartphone [32 GB],0.0,0.0
VIVO,0%,1699000.0,"Vivo Y81 (Black, 16 GB)",4.0,79.0
VIVO,0%,1699000.0,"Vivo Y81 (Red, 16 GB)",4.0,16.0
VIVO,0%,1709999.0,VIVO Y11 New 2020 Smartphone,4.0,2.0
VIVO,0%,1749000.0,"Vivo Y71 (Gold, 16 GB)",4.0,126.0
VIVO,0%,1749000.0,"Vivo Y71 (Black, 16 GB)",4.0,151.0
VIVO,14%,1785000.0,VIVO Y11 Smartphone [32 GB],0.0,0.0
VIVO,15%,1785000.0,VIVO Y11 New 2020 Smartphone,0.0,0.0
VIVO,30%,1889300.0,"Vivo Y83 (Black, 32 GB)",4.0,99.0
VIVO,0%,1899000.0,VIVO Y65 Smartphone - Rosegold,4.0,4.0
VIVO,0%,2000000.0,"Vivo Y81 (Red, 32 GB)",4.0,40.0
VIVO,19%,2099000.0,"Vivo Y65 (Gold, 16 GB)",0.0,0.0
RAZER,0%,3390000.0,Razer Seiren Microphone with Emoticons,0.0,0.0
RAZER,0%,4631000.0,Razer R06 Razer Huntsman Elite Gaming Keyboard,0.0,0.0
RAZER,0%,1199000.0,Razer artech Pro Black iPhone 11,0.0,0.0
RAZER,5%,5950000.0,Razer R52 Raiju Ultimate Wireless Gamingpad,0.0,0.0
RAZER,0%,1750000.0,Razer Kraken Black Gaming Headphone,0.0,0.0
RAZER,0%,1175000.0,Razer Quartz Goliathus Extended Chroma Gaming Mouse Pad,0.0,0.0
RAZER,0%,265000.0,Razer Hammerhead Pro V2 Headset,4.0,7.0
RAZER,10%,535000.0,Razer Deathadder Essential Gaming Mouse [6400 DPI],5.0,3.0
RAZER,0%,996577.0,Razer Atheris Mercury Mobile Gaming Mouse ,0.0,0.0
RAZER,0%,1799000.0,Razer Nabu Watch Forged Edition Smartwatch,0.0,0.0
RAZER,26%,1400000.0,Razer Tartarus v2 Mecha Membrane Gaming,0.0,0.0
RAZER,9%,260260.0,headset Razer hammerhead pro V2 - Razer hammerhead V2 earphone OEM,0.0,0.0
RAZER,8%,271400.0,headset Razer hammerhead pro V2 - Razer hammerhead V2 earphone,0.0,0.0
RAZER,0%,1520000.0,Razer Hammerhead BT Bluetooth Wireless Earphone,0.0,0.0
RAZER,10%,1699000.0,Razer Nommo 2.0 Gaming Audio,0.0,0.0
RAZER,5%,1720000.0,Razer Ifrit + Razer USB Audio Enhancer,0.0,0.0
RAZER,23%,840000.0,Razer Bungee Mouse,5.0,1.0
RAZER,0%,363000.0,Razer Kitty Ears for Razer Kraken Ear Cup,0.0,0.0
RAZER,14%,2036000.0,Razer R23 Destiny Razer Deathadder Elite Gaming Mouse,0.0,0.0
RAZER,38%,307500.0,Razer Abyssus 1800 Gaming Mouse Bundle Razer Goliathus Speed,0.0,0.0
RAZER,0%,22500.0,Mouse Pad Razer,4.0,2.0
RAZER,0%,550000.0,Razer Vespula Mousepad,0.0,0.0
RAZER,11%,2690000.0,Razer R10 Destiny 2 Razer Ornata Chroma Gaming Keyboard,0.0,0.0
RAZER,0%,895000.0,Razer Firefly Gaming Mouse Pad,0.0,0.0
RAZER,32%,1055000.0,Razer Ornata Chroma Keyboard,5.0,1.0
RAZER,0%,1285000.0,Razer Viper Gaming Mouse,0.0,0.0
RAZER,0%,1299999.0,Razer Utility Tas Ransel,4.0,2.0
RAZER,0%,1460000.0,Razer Utility Tas Ransel,5.0,1.0
RAZER,0%,1530000.0,Razer Blackwidow Lite Stormtrooper,0.0,0.0
RAZER,0%,1570000.0,Razer Ornata Chroma Keyboard,5.0,3.0
RAZER,0%,1570000.0,Razer Ornata Chroma Keyboard,0.0,0.0
RAZER,0%,1870000.0,Razer Ornata Chroma Keyboard,0.0,0.0
